work,words
urn:cts:greekLit:tlg0013.tlg010,39
urn:cts:greekLit:tlg0013.tlg011,35
urn:cts:greekLit:tlg0013.tlg012,28
urn:cts:greekLit:tlg0013.tlg013,20
urn:cts:greekLit:tlg0013.tlg014,46
urn:cts:greekLit:tlg0013.tlg015,61
urn:cts:greekLit:tlg0013.tlg016,33
urn:cts:greekLit:tlg0013.tlg017,27
urn:cts:greekLit:tlg0013.tlg018,75
urn:cts:greekLit:tlg0013.tlg019,336
urn:cts:greekLit:tlg0013.tlg020,51
urn:cts:greekLit:tlg0013.tlg021,38
urn:cts:greekLit:tlg0013.tlg022,42
urn:cts:greekLit:tlg0013.tlg023,22
urn:cts:greekLit:tlg0013.tlg024,33
urn:cts:greekLit:tlg0013.tlg025,51
urn:cts:greekLit:tlg0013.tlg026,89
urn:cts:greekLit:tlg0013.tlg027,132
urn:cts:greekLit:tlg0013.tlg028,111
urn:cts:greekLit:tlg0013.tlg029,96
urn:cts:greekLit:tlg0013.tlg030,133
urn:cts:greekLit:tlg0013.tlg031,131
urn:cts:greekLit:tlg0013.tlg032,123
urn:cts:greekLit:tlg0013.tlg033,116
urn:cts:greekLit:tlg0014.tlg001,1835
urn:cts:greekLit:tlg0014.tlg002,2045
urn:cts:greekLit:tlg0014.tlg003,2357
urn:cts:greekLit:tlg0014.tlg004,3285
urn:cts:greekLit:tlg0014.tlg005,1457
urn:cts:greekLit:tlg0014.tlg006,1996
urn:cts:greekLit:tlg0014.tlg007,2439
urn:cts:greekLit:tlg0014.tlg008,4233
urn:cts:greekLit:tlg0014.tlg009,4308
urn:cts:greekLit:tlg0014.tlg010,4447
urn:cts:greekLit:tlg0014.tlg011,1290
urn:cts:greekLit:tlg0014.tlg012,1414
urn:cts:greekLit:tlg0014.tlg013,2319
urn:cts:greekLit:tlg0014.tlg014,2592
urn:cts:greekLit:tlg0014.tlg015,2210
urn:cts:greekLit:tlg0014.tlg016,1856
urn:cts:greekLit:tlg0014.tlg017,1790
